,content,title
160,"After seeing the imams comments concerning the death of Deborah, I have come to realise that he is just being insensitive to the sense that this can only happen in the northern part of the country.  Imagine if this was to happen in aba or onitcha it would have been a different story, by now atleast 30 Muslims would have been dead as repayment. Am not saying Christian need to use violence to pay violence but with how this Northern people thinks they can do whatever pleases them over  there, is high time we the Christians in South and East draw our own red line so they will understand what it feels like loosing a relation",The Imam Is Just Being Insensitive
161,"I'm with OUK on this one .Yes it's the turn of the south to produce president , and if we are truthful to ourselves it should be southeast turn .For equity and fairness .After years of supporting OBJ and GEJ .But to my surprise wike , amaechi , Tinubu , even the common commissioner are all declaring interest and buying forms .The north will continuehttps://m.facebook.com/story.php?story_fbid=pfbid027vj9zDVP2GowWDuLbSbaRqJUi59YnwyQwgryXwqbLqAJpQ3mfHv21Cw9hbUqQMhtl&id=100044703721568","2023: The South Betrayed The Igbos, Sen Orji ."
162,"*The Egg is About to Be Broken Again**Tim Akano* Come, let us reason together, now that such exercise is still meaningful; before the sky gets dark and evil, and the falcon cannot hear the falconer.Today, the Nation’s Ship is on fire. The Elites are shopping for new furniture to equip the burning ship, instead of looking for water and C02 to put out the fires. ’No be juju be that’? Is a soft landing still possible for Nigeria at this stage, if yes, how? That is the exam. Let me unpack the seven variants of madness inside Nigeria’s elite backpack that confirm the egg is about to be broken from the outside. Why this analogy? You askYou see, when the egg breaks from inside, life begins, but when it breaks as a result of outside force, life ends. Before a State will collapse and disappear from the face of the earth, her Ship will pass through six harbours to load: Stagnation, Retrogression, Fragile, Failing, Failed and Disappearance. Which harbour is Nigeria’s Ship loading from presently? *Madness N0 1*:The ’TikTok Democracy’ that Nigeria is practising is a hallucination, it is not working and the ‘one-man-one-vote’ principle is a mirage. The vote of an idiot who adds zero value to the economy pays zero tax, zero education, and zero skill apart from voting skill carries the same weight as the vote of a man who pays tax and oils the wheel of the nation’s economy. Smart nations open schools, factories and Tank Farms, while Nigerian politicians open VOTERS FARMS, where voters are raised and cultivated like sheep. However you stack the cards, vertically or horizontally in a country where the uneducated young adults on the streets are more than the ones working in the factories and schooling, the Idiots will always have it. The apple doesn’t fall far from the tree. Politicians breed and incubate the idiots, who in turn ‘’democratically’’ install one of their own as King. This is why. Nigeria is going downhill, from ‘’top to bottom’’. The Greeks have a word to describe this charade: IDIOCRACY. *Madness N02*:The life span of a multi-ethnic, multi-religious country forcibly held together and centrally administered is three scores and ten, then the superglue of force turns loose. As Nigeria approaches her 70th birthday, the Elites need to stop avoiding the thinking cap and see it instead, as an ally. For instance, the USSR with a population of 280 million people, a union of 15 Republics; 14 heavy-laden wives and Russia, the condescending husband, survived only for 69 years (1922-1991) before the union was dismembered. The first wife to file for divorce was Lithuania, followed by Georgia while Kazakhstan exited last on December 16th, 1991. The curtain fell on 26th December 1991, the Red Banner flag was lowered, and the USSR, which Russia boasted was indivisible and unconquerable, collapsed like a pack of cards. Today, Putin and the Russian elites exhibit symptoms of malarial dreaming, nursing the hopes that one day, USSR2 will resurrect. Similarly, the federal republic of Czechoslovakia (1918-1993) fumbled and wobbled until age 75, when she split into two distinct independent countries of the Czech Republic and Slovakia.Yugoslavia collapsed on the eve of her 74th birthday and violently split into 7 nations along ethnic and religious lines: Bosnia & Herzegovina, Croatia, Kosovo, Macedonia, Montenegro, Serbia and Slovenia. Paradoxically, each of the 7 independent countries is richer than Yugoslavia. For instance, in 2022, Croatia per Capita Income (PCI) is $16,500, Serbia, $7,100. Kosovo $4,500, Slovenia $27,000, Macedonia $5,700, and Bosnia and Herzegovina $62,600, while Yugoslavia in 1991 was just $5000. When you unbundle any unbalanced federation, a branch can become bigger than the whole, through healthy competition or a combination of other variables. Sudan which gained independence on January 1st 1956 from the Anglo-Egyptian condominium was another failed union. Sudan had about 600 ethnic groups speaking over 400 languages. But by July 2011 at 55 years, the hitherto geographically largest country in Africa disintegrated and, from the ashes emerged two independent but antagonistic countries.What does all this add up to? That a multi-ethnic, multi-religious country forcibly yoked together and unitarily administered has a lifespan of about 70 years before it collapses. (69 +75+74+55/4= 68+years). Europe, the UK, USA knew what they were doing when they chose  loose Federation with a referendum clause in their respective constitution and focus on building factories and Tank Farms instead of Voters' farms. *Madness N03*:Approaching the crucial 2023 elections flimsily, clumsily and lousily as the elites are doing is dangerous. The new game is nationalism, the old game- globalisation is preparing to go on sabbatical. Every smart nation is seeking self-reliance. This is the wrong time for countries to engage in acts that may lead to a crisis. The superpowers who could separate warring nations are busy warring in Ukraine, Syria, Iraq Yemen etc. Finland and Sweden may soon join NATO and become the new battlefields, plus the threat of a WW3 becomes a strong possibility as the days go by. *Nigeria should be careful, lest she becomes collateral damage*. *Madness N04*:STAGNATION/RETROGRESSION: how can Nigeria be a dwarf despite her humongous resources? Let us search for truth from the thick forest of facts. In 1992, Nigeria’s per capita income stood at $2,030. As of May 2022, it is the same: $2,083. Little wonder why JPMorgan recently (10/5/22) removed Nigeria from its list of emerging markets, saying the country has not taken advantage of high oil prices, unlike the Saudi Aramco which overthrew Apple on 12th May 2022 to become the most valuable company in the world at $2.4 Trillion. For instance, UAE’s GDP has grown 112 times bigger than it was in 1971 with a per capita income in 2022 of $40,000. South Korea grew her per capita income from $10,170 in 1992 to $28,075 in 2022, while Singapore grew from $27,060 in 1992 to $61,000 in 2022.Wait for the bombshell: While 6 countries with a combined population of 183 million people generate $4.2Trillion in GDP, Nigeria with a population of 220million has a GDP of about $400B. (UAE: Population- 10m, GDP- $400B, Malaysia: Population- 33m, GDP-$366B, Israel: Population- 9.6M, GDP- $501B, Thailand: Population- 66m, GDP-$505B, South Korea: Population- 51.8M, GDP $1.8Trillion, and Taiwan: Population -23M, GDP $690B.*Nigeria is not productive and can barely fulfil her destiny as it is presently structured*. *Madness N05*:LACK OF ELITE CONSENSUS: All smart and developing nations have something in common: Elite Consensus around a common vision. India's elites decided to produce Software Engineers for the world. In 1950, three years after independence, the Indian Institute of Technology (IIT) was established. Today, Indian Engineers are leading the world and remitting about $100 Billion yearly according to MOIA. Taiwanese elites decided to control the heart of technology; in 1987, the Taiwan Semiconductor Manufacturing Company (TSMC) was established, and while it is considered to be a lesser-known company, in reality, rules the world. The same can be said for the UAE. Their elites built a consensus around Hospitality and Tourism, through Dubai. The Chinese elites built a consensus around Global Supply Chain (GSC), which catapulted China to N0 2 in the global classroom. *Here is the exam: who among the Presidential aspirants can govern any of these two countries successfully, and how*?Country A:  Four countries are merged under one unitary, central government: Saudi Arabia+ Israel + Iran+ Italy and form the *Federal Republic of SAIII*Country B: Pakistan+ India + Bangladesh+ Ireland become the *Federal Republic of PIBI**SAIII=PIBI=Nigeria. QED. You gerrit or fogerrabourrit.*Professor Mahmadu Jega posed a poser: ‘with the mountain of problems facing Nigeria, why do we have dozens of people coming out to vie for the post of President? The answer is GREED! My hunch is that each of the candidates and their supporters have a cleaver inside their pocket with which to cut their own share of Nigeria’s dying whale. Make Abraham Lincoln the President, Winston Churchill, VP, Lee Kuan Yew the Finance Minister and Barack Obama the Chief of Staff to the President, forging elite consensus in any of those 3 republics (SAIII, PIBI and Nigeria) is not just a Herculean task, but it is an impossibility. *And no elite consensus, no transformation, no life after 70*! The Sokoto Jungle Justice of 10th May 2022 provides a litmus test for all the Presidential aspirants. Any aspirant who cannot take a public stand on the constitutionality of jungle justice is not a fit and proper person to lead Nigeria. *Madness N0 6:*Pleasure without Productivity, Gains without Pains, Platinum lifestyle without Perspiration.The country which received the lousy trophy of the world’s poverty capital in 2019 and has the world’s highest number of out of school children is also the country reputed to host the highest number of private jet owners in the world after America and China and one of the biggest Champagne consuming nations. *The Country dies when the two most thriving sectors of the economy are Politics and YAHOO+*! *Madness N07:*Nigeria, a Kidnapped State in Chains. Nigeria’s situation is worse than what Political Economists call ‘’State Capture’. On May 24 1966, through Decree 34 promulgated by the then Military Administration of General Aguiyi Ironsi, the ‘’FIRST NIGERIA’’ was kidnapped and chained down. Liberating a captured state is far easier than a kidnapped one with manacles on her legs and shackles on her arms. For instance, despite the Mafia’s notoriety, Mexico remains the world’s 15th strongest economy in the world. Ironsi got it all wrong when he concluded that “All Nigerians want an end to regionalism, tribal loyalties, and activities which promote tribal consciousness and sectional interest…’’ The then Military Governor of the Northern Region, Gen Hassan Usman Katsina and Gen David Ejoor of the Mid-Western Region expressed strong reservation and opined that it would lead to future complications. Lt Col Ojukwu and Dr Nnamdi Azikwe celebrated the unification Decree. General Ironsi tapped his kinsman, Mr Nwokedi of the Civil Service to produce a white paper for the establishment of the ‘’Administrative machinery for the unification decree’’. Gen Adekunle Fajuyi of the Western Region maintained neutrality.The rain began to beat Nigeria in 1966 when the Military thought it could decree against tribal consciousness – something which Europeans fought a 100-years war on. Unarguably, the relative peace which Europe has enjoyed in the last 80 years is due to the ethnic re-alignments in Europe since the end of WW2.Some Nigerians ignorantly still believe that all Nigeria needs is a strong leader. Josip Tito was a strong leader of Yugoslavia, yet the country pulled apart along ethnic lines after his death. We lie when we say ethnic groupings are anachronistic. They are not.The only thing missing in Nigeria’s unenviable history is not to have been governed by someone who died and rose up or an ALIEN from Jupiter! We have tried a Technocrat (Shonekan); Benevolent Dictator ( IBB); Kill & Go General (Abacha- Kanuri); Academician & Ijaw ( Jonathan, PhD); Poor Teacher (Balewa); ‘Praying when looting is going on’ President (Shaghari);  Yoruba &Engineer ( OBJ 1&2);  Meyitti Allah ideologue & Fulani hero (Buhari 1&2); the Socialist & a Good man (Yar Adua); Youth &Middle Belt (Gowon); Practising Muslim (Abdusalam); Hausa &Revolutionist (Muritala);  Igbo (Ironsi, Zik) as Presidents. We have tried an orphan (IBB) and Mr Integrity (PMB) and what do they all have in common? Similar results ranging from P7, P8 & F9. Nigeria has failed to become a nation but instead she remains an economic dwarf in the comity of nations despite the gargantuan natural and human resources she is blessed with. Who among the current gladiators has a better profile and preparation than OBJ of 1999? The whole world saw in OBJ a second Mandela but OBJ could not “Mandelarize”  This tells you that Nigeria's ailments do not respond to ""strong leader"" treatment. Which Team shall we send to retrieve and unchain Nigeria from the kidnappers’ Den, then?  We cannot count on Buhari’s successor for a successful rescue mission. There seems to be a thing that makes the ‘Aso Rock General Overseer’ become clueless, ball-less and goal-less, no sooner than he is sworn in. Whatever it takes, I insist, we must preserve Nigeria as an entity. Without Nigeria, the hope of transforming Africa and the entire black race will remain a will-o-the-wisp. *Soft Landing Pathways*A regional form of governance, anchored on the 1963 constitution with a modicum modification (insertion of Referendum clause: Dr Azikwe was wrong to have opposed the referendum clause in the 1960s) is the most suitable for a multi-ethnic, multi-religious country like Nigeria, where every Region has power to prioritize her developmental agenda and pay 30% tax to the Center in Abuja for security, passport and currency Management.*How*? Nigeria is lucky that some members of the Military cabal who witnessed the kidnapping exercise and who know where Nigeria is chained are still alive. Yugoslavia lacked this. When President Josip Tito and a dozen of strong Personalities who stabilized Yugoslavia passed away, the country passed away with them. There was no one with the institutional memory and voice to call the boys to order when Mr Devil paid them a courtesy visit. Nigerians should appeal to the *Owners of Nigeria* to untie it before they go the way of all flesh. To this end, I recommend the immediate setting up of *NIGERIA RE-WORK EMINENT PERSONALITIES TEAM* *NREPT* whose Executive Secretary shall be Dr Father Matthew Kukah, and Chairman, Chief Olusegun Obsanjo and Co-Chairman, The Sultan of Sokoto. Other recommended members are IBB, TY.Danjuma, Gowon, Abdusalam, Pastor EA Adeboye, plus 12 opinion leaders, two from each geo political Zone ( G8+12).Strange illnesses require strange medication. The main task of NREPT is to get the National Assembly to meet and invoke the DOCTRINE OF NECESSITY ON RE-WORK NIGERIA. This will empower the National Assembly to circumvent the laborious legal complications that have been militating against restructuring since 1993. In a word, *NREPT* should help us rescue Nigeria from the Kidnappers’ den, help us unchain it and drop her at the 1963 Roundabout from where she was kidnapped. Every Region will get her best Surgeons to stabilize her portion of Nigeria and make it work. We need at least 50 years to experiment with the Regional government, in the first instance. By my rough projection, if Nigeria takes this bypass, within the next decade, Nigeria’s GDP will increase from $400 Billion to about $4.4 Trillion, which will be like adding the GDPs of South Korea, Taiwan, Thailand, Israel, UAE, Qatar and Malaysia together. The manufacturing Western Region becomes South Korea at $1.8 Trillion, the mineral resource-rich Core North becomes a combination of UAE+ Malaysia- $800 Billion, Middle Belt, the Food Basket is Thailand at $500 Billion, and the innovative East is Taiwan at $700 Billion and the oil and gas rich Mid- West is Qatar+ Israel at $700 Billion.Show me someone who votes down the above option and I will show you a rapaciously greedy, lazy man.In conclusion, I will exit with the following five thoughts for the elites to ponder on, before I handover the microphone to Nigerians to ‘kontinu’ the conversation. One, Nature does not allow a situation to be mismanaged for long. President Mubarak and the then Egyptian ruling elites realised this truism too late. They were humiliated out of power and all died unsung. The 70 million ’sleeping’ Nigerians who survive on $ 1.00 per day are like time bombs waiting to explode. Two, there is no equilibrium in greed. The Yugoslavia ruling elites, trumpeting the indivisibility of their country just like their Nigeria counterparts, were busy having fun inside the locked room, with A/Cs and sound stereos on, Champagne in one hand, steak in the other; women of easy virtues rubbing their heads, and alas, they forgot to lock the ""kitchen door"" from where the army of angry, hungry and frustrated Yugoslavians entered the room and detonated the bomb which sent most of the elites to the Great Beyond as they  ran out of time to activate their PLAN B. The second passport was useless.Three, there is no equilibrium in poverty, nothing says Nigeria cannot go further downhill, if we ‘kontinu’ with this TikTok democracy without corresponding dividends. Four, Nature abhors a vacuum. A Nation’s tree that does not bear fruits after 70 years may ‘’fall down and die’’. Five and finally, Nigeria’s Ship has since passed the Tokenism harbour, nothing short of a complete remodeling will save the Ship from capsizing.Homework: What lessons can the Nigerian Elites learn from the Yugoslavia experience and what do they understand by Collective Enlightened self Interest (CESI)? (100 marks).*SAIII=PIBI= 1st Nigeria. QED.* You gerrit or fogerrabourrit!!!Tim Akano*timakano1@gmail.com*www.timakano.com",The Egg Is About To Be Broken Again*  *tim Akano*
163,"Former Vice President of Nigeria and a presidential aspirant under the Peoples Democratic Party (PDP), Alhaji Atiku Abubakar has pledged to restructure the country if given the opportunity to emerge as the president of the country…https://www.thenews-chronicle.com/ill-restructure-nigeria-if-elected-president-atiku/",I’ll Restructure Nigeria If Elected President – Atiku
164,"Recently H.E Atiku Abubakar, horridly pulled down a Facebook post where he condemned the murder of a student in Sokoto state university, cos he was threatened by some northern youths, that they won't vote for him cos of his comment on Facebook.It goes on to show the kind of person atiku is. I believe strongly that even if the entire north votes for Atiku, he still won't be president cos he is destined never to lead this nation.",Even If The Entire North Voted For Atiku...
165,"APC Amuwo-Odofin: Faithfuls Disrupt Inauguration Of Non-Elected Party Chairman Ayodele Olusegun Ogungbiye As He Forcefully Inaugurates Self.(VIDEO)Posted by Naomi SophyCommotion ensued as APC Faithfuls(Members), disrupt the illegal inauguration of Ayodele Olusegun Ogungbiye and his fake Exco list conducted in Alhaji W.A Lawal's House.Reports has it that this betrayals, some few members of APC, never took path in the APC Local Government Congress held on the 4th of September 2021 rather they empathized that the Party Congress was won by Adm Fadairo Olawunmi Jamiu (MCIA) as APC Party Chairman Elect,who completed the process of eligibility.Read more and watch video:https://naomisophyblog.com.ng/2022/05/14/apc-amuwo-odofin-faithfuls-disrupt-inauguration-of-non-elected-party-chairman-ayodele-olusegun-ogungbiye-as-he-forcefully-inaugurates-self/",APC Amuwo-odofin: Faithfuls Disrupt Inauguration Of Non-elected Party Chairman A
166,"*2023 Elections: House of Representatives Aspirant withdraws from race*An Aspirant for Ila/Ifedayo /Boluwaduro Federal Constituency in The House of Representatives, Hon. Adeniyi Oluwatosin Ismail has withdrawn from the race. He made this known in a statement in Ila-Orangun on  Wednesday.Hon. Adeniyi Oluwatosin Ismail said he chose to opt out of the race after  purchasing the expression of interest and nomination forms base on consensus decision of the leaders in the Federal Constituency. ""Based on the consensus decision of our Leaders in Ila/Ifedayo /Boluwaduro Federal Constituency, I will be withdrawing my candidacy for the House of Representatives seat and shall be throwing my weight behind the party's candidate. This is in the best interest of our party (APC) and the development of our Federal Constituency and Osun State at large."" he said. He appreciated the overwhelming support, acceptance and accolades he got from members of APC and the general public in the Federal Constituency.",*2023 Elections: House Of Representatives Aspirant Withdraws From Race
167,"Alleged drug pusher and disgraced police officer Abba Kyari says he is being forced to bankroll the DSTV subscription bills for his fellow inmates at Kuje prison as he cools off his feet in a private cell, Peoples Gazette has learnt.  Nureini Jimoh, Mr Kyari’s lawyer who filed for a review of his client’s bail application, lamented the harsh treatment his client suffered at the prison.Through his lawyer, Mr Kyari bewailed his incarceration at the correctional facility shared with other criminals, majority of whom were arrested by his team during his active years in service.According to the documents seen by The Gazette, the suspended officer had resorted to doling out cash gifts to inmates and paying cable television bills to avoid being attacked and killed by the vicious criminals he helped put behind bars. “In a bid to mitigate the threats to kill the defendants/applicants, the chief warder advised DCP Abba Kyari and other defendants to advance some goodwill to the inmates by funding renewal of the DSTV subscription in all the cells for two months and make some cash donations to all the inmates group leaders as well as the church and mosque. The defendants/applicants complied on 29/03/2022,” stated the document.Mr Kyari’s brother Mohammed swore an affidavit that contained details of the disgraced police officer’s argument.Praying the Abuja Division of the Federal High Court to review his bail application, the alleged drug dealer claimed his life was not safe as he had been accosted by a Boko Haram terrorist “Yasir,” on March 31, despite being held in a private cell. Mr Kyari further expressed worry over the increasing number of threats from fellow inmates comprising terrorists and armed robbers he once arrested in the course of duty.“The number of inmates in prison at the distance of the IRT is large, but most worrisome are those arrested for terrorism, vowing to revenge the killing of their members who died in the course of operations by the DCP Abba Kyari led IRT,” Mr Jimoh pointed out. “The resultant effect of placing the applicants together with the condemned criminals in the same custodial home will have negative impacts on police and other security personnel, the likelihood of endangering and exposing the life of the officers to criminals in and out of service.”Mr Kyari’s previous request for bail application to the court was initially rejected.Citing instances of insecurity such as the Kaduna-Abuja train bombing on March 28, the Kaduna airport attack, as well as rampant banditry on the road linking Kaduna to Abuja, Mr Kyari argued that Nigeria had become a hotbed of crises ever since his arrest.https://gazettengr.com/im-kept-in-kuje-prison-private-cell-forced-to-pay-dstv-bills-for-my-fellow-inmates-abba-kyari/?fbclid=IwAR0hO6aBEUAiTPVkV8z2y_qxFI7ScsOEQdhgElnib1d3lH2rMlSi4XoUfJICc;mynd44","Kyari; In Kuje Prison Private Cell, I was Forced to Pay DSTV..."
168,"*A glimpse, into the life of Rukayat Shittu, 26-year-old APC aspirant for KWHA* Rukayat Shittu is a village girl, from Manyan village, Onire District in Asa local government area of Kwara State.The 26-year-old APC Kwara State House of Assembly aspirant is a successful media practitioner with many years of experience in journalism. She was the former head of news department, in the most popular Kwara based online media outfit, Just Event Online Publication.Rukayat attended Baptist LGEA School, Surulere in Ilorin between 1999 - 2005 and later continued her education at Government Day Secondary School, Otte in Asa local government between 2005 to 2008.During one of her weekend travels to Ilorin from her school in Otte, she was involved in a fatal accident, which claimed several lives.She was one of the few survivors, though not without life threatening injury. The scar on her lips, is a part of her survival story.Rukayat completed her Senior Secondary School Education at the Government Girls Day Secondary School, Oko Erin, Ilorin in 2011. In 2012, she got admission to the Kwara State College of Arabic and Islamic Legal Studies being affiliated to Bayero University, Kano where she obtained her diploma certificate in Mass Communication and Islamic Studies in 2015.In furtherance of her youthful engagements, she decided to learn fashion designing, while in 2017 she got an admission to the National Open University Of Nigeria (NOUN) and graduated from the department of Mass Communication in 2022.During her undergraduate study at the National Open University of Nigeria, she combines studies with volunteering and enterprenuership.Rukayat's quest for more knowledge led to participation in a series of workshops and training which includes;* Introduction to digital Journalism Training * International Media Training center workshop* Kwara Emerging Women in Politics* ITrain African Training * Progressive Women Academy * Youth in motion Fellowship * Cyber Naija with Hashim Bootcamp* UNICEF-Report*SpaceForHer Fellowship She also served in many capacities during her undergraduate days.She functioned as the first female Senate president for Congress of National Open University of Nigeria Students (CONS) which covers about 85 study centers across the federation and also represented her study center (Kulende, Ilorin Study Centre) at the National level.Rukayat is a member of leading pro-democracy group, fashion enthusiast, entrepreneur, and advocate for women's and girlchild's rights in society.Presently, she is one of the contenders for the Owode/Onire Constituency Seat at Kwara House of Assembly in the 2023 election under the platform of the All Progressives Congress. Her mother is from Alanamu in Ilorin West local government, while her dad is a native of Manyan village, in Asa local government.She's a proud Nigerian and believer in the great future the country holds. *Courtesy* : *RMS Campaign Organization*","Meet 26 Year Old Female Aspirant In APC, Seeking Kwara Assembly"
169,"A group in Yorubaland, Southwest Security Stakeholders Group (SSSG), has raised the alarm over influx of non-Nigerians into all the six states in South-West, saying the situation is threatening the peace of the region.In a statement by its Publicity Secretary, Adewole Ireti, the group said it was alarmed by the raging influx of non-Nigerians from Mali, Chad, Niger Republic and other neighbouring African countries into the South-WestAccording to the statement made available to The Guardian in Ibadan, the group raised the alarm after a meeting held at the residence of the convener and Aare Ona Kakanfo of Yorubaland, Iba Gani Adams.Ireti stated also that the group could no longer keep mute at the impending danger lurking around the region.“After the meeting with leaders of the Southwest Security Stakeholders Group from across the South-West, we agreed to raise the alarm over the influx of non-Nigerians invading the South-West and wrecking untold havoc to various communities in the region.“Information at our disposal actually showed the plans and desperation of non-Nigerians with no identity and masquerading as motorcycle riders (Okada riders) to perpetrate evil across the South-West.“From our investigation, many of the Okada riders in the communities are non-Nigerians with no identity and a place of abode.“You can hardly trace them and we have it on good authority that they usually hold weekly meetings every Friday after the Jumat service at their various locations to strategise on the best approach for them to perfect their sinister motives against residents of the South-West. “A large percentage of them are from other neighbouring countries like Niger Republic, Mali and Chad. They are motorcycle riders and have dangerous weapons stocked under the seat of their motorcycles,” he said.The SSSG publicity secretary added that the reopening of Seme Border had, rather than being a blessing, turned out to be a curse, saying: “Our attention has been drawn to the various activities playing out at the Seme border. They didn’t allow duties, but they allow non-Nigerians from Burkina-Faso and Mali to find their way illegally to Iwoye, a town in Ogun State that shares border with Benin Republic.”The group, therefore, urged all the South-West governors, traditional rulers and other stakeholders across the region to brace up to the security challenges to make the region safe.https://guardian.ng/news/group-raises-the-alarm-over-influx-of-non-nigerians-into-swest/?utm_term=Autofeed&echobox=twitter_post&utm_medium=Social&utm_source=Twitter#Echobox=1652419678Mynd44 Lalasticlala OAM4J","Yoruba Group Warns About Influx Of Fulanis From Mali, Chad, Niger Into SW"
170,"Nwafor OkaforSoludo visits Nnamdi Kanu in DSS custody, Obigwe hails moveThe Anambra State Governor Prof, Chukwuma Soludo, at the weekend visited the detained leader of the Indigenous People of Biafra ( IPOB) in prison.Soludo disclosed this in a statement signed by himself.He said,"" I visited Mazi Nnamdi Kanu, yesterday, (Friday, 13th May, 2022) to felicitate with him and also as part of the wider consultations with critical stakeholders in search of lasting peace and security in the South East.He was in very high spirits and we had quality and frank discussion in a very convivial atmosphere. He expressed sadness over what he described as “sacrilegious killings” of innocent persons, kidnappings and all forms of criminalities, including the brutal enforcement of the senseless “sit at home” perpetuated by sundry groups claiming to be acting for or on behalf of IPOB. He assured that if the opportunity arises, he will be glad to personally broadcast to his followers to maintain the peace.Together, we shall restore peace, security and prosperity in Anambra and the Southeast. It is well indeed.In a swift reaction the National Coordinator of APGA Media Warriors' Forum, Chinedu Obigwe commended the move.OBIGWE'S STATEMENT READS: Governor Soludo visit to Nnamdi Kanu at DSS custody is a masterstroke step that will end insecurity in Anambra and Southeast at large.* If you see someone that has a burning desire to entrench  peace and security in his State you will know. Governor Soludo truly has a burning desire to bring peace and security in Anambra State. His visit to Nnamdi Kanu at DSS custody is not something that can be taken for granted. It's something that must be appreciated by ndi Anambra and igbo's at large. My reason for saying this is because Governor Soludo is a character that means business. He is not someone that fakes it. If he wants to achieve a goal, he will ensure that no stone will be left unturned to achieve that goal. I was so happy to see Governor Soludo pics with Nnamdi Kanu that is in DSS custody. It shows that he feels Nnamdi Kanu pain and that he is deeply touched with the insecurity in Anambra and Southeast at large. I can say it boldly that with Governor Soludo visit to Nnamdi Kanu at DSS custody that he has two things in mind and they are (1)The release of Nnamdi Kanu from detention(2)putting an end to the insecurity in Anambra and Southeast at large. The two things Governor Soludo has in mind that made him  to visit Nnamdi Kanu has shown that he has the interest of ndi Anambra and igbo's at large in his heart. Let's not forget in a hurry that no other Southeast Governor was bold enough to identify with Nnamdi Kanu in this period of his incarceration at DSS custody but Governor Soludo has done that. He deserves to be commended and appreciated for making that bold move. Am proud of my support for Governor Soludo and I know that other of his supporters are proud of their support for him. He has truly justified the confidence reposed on him by Anambra electorates. Deep down in my heart, I see Governor Soludo as the only Presidential material igbo's can boast of having but let the will of God be done.","Soludo visits Nnamdi Kanu in DSS custody, Obigwe hails move"
171,Now NNPP is gaining tract in Kano.This was how APC was started.Notable Kano politicians including Kano state Government Chief of Staff have decamped to the party.But there is no SE politician or young politician in the party yet.I will urge young SE politician especially those in mushroom party to decamp or merge with NNPP in order to balance the NORTH-south political equation which is always needed to gain power in the center.Time will come when they will reap the profits.Let us be part of the moving train now so that we will not lose out of the power sharing scheme as we did with APC in 2013 when it was formed and they formed government in 2015.,Now NNPP Is Gaining Tract In Kano
172,"We must restore hope , revitalize our economy, and lead by example.We must work together to ensure that, as federal legislators, our constituents benefit from the core dividends of democracy.Etsako Federal Constituency can only be transformed and its lost hope restored by determined and visionary leaders.Every person in a position of leadership must be willing to remain firm and carry out their responsibilities.“You Must Choose A Leader With A Proven Track Record Of Performance To Change And Transform A Community.”Please nominate and vote Moses Omo-Ikirodah for Etsako Federal Constituency.Posted by JBE",Etsako Your God Sent Leader Is Here
173,"Hello Nairaland,I just wanna ask a simple question, where is FKK?? FKK I know would have be active with the political bruhaha's and 2023 elections",Where Is Fkk?
174,My visit to industrial and commercial city today,Update on developments in Anambra state-photos
175,"To all Ipob supporters and their gunmen yall are no different from those educated illiterates of Soloto College Of Education who lynched late Deborah. Nothing different.I know you all eastern Terrorists hate to read this but it is what it is. Check the whole social media,na Ipob terrorists carry the sokoto news like gala on their heads starting from the chief Abakeleke terrorist called Simon Ekpa down to the rest baby talibans and their supporters. Today all sane humans join in spitting on all Ipob terrorists and the sokoto lynchers of Deborah.To all terrorists and supporters of violence:Cursed shall you all beThe sun shall continue to smite y’all by day and d moon by night.Your whole generations unborn shall toil day and night with nothing to show for it.",IPOB And Sokoto Lynchers Are Same...No Difference
176,"It is time for Nigeria to change for good. And we all cannot fold our hands and watch the cronies that is dealing with the masses to continue to inflict massive pain on the economic, social and mental system of the nation.I said before that I will never come out to vote for election again after the mago-mago that happened in the last one.But since Peter Obi  is coming out, I have changed my mind. Infact I have dusted my PVC waiting for the election. I have decided to preach the gospel of Peter Obi - which is make Nigeria a producing nation and not just a consuming nation sharing 17billion$.It is time for us to produce as a nation and tackle the issues that has kept us backward for so long.So join me in broadcasting and preaching this message to all nook and crannies of our nation. We are saying simply. #GiveUsPeterObi.The youth are saying #GiveUsPeterObiThe elders are saying #GiveUsPeterObiThe mama and papa are saying #GiveUsPeterObiThe students are saying #GiveUsPeterObiThe traders are saying #GiveUsPeterObiThe corporate world are saying #GiveUsPeterObiThe bankers are saying #GiveUsPeterObiThe north are saying #GiveUsPeterObiThe south are saying #GiveUsPeterObiThe west are saying #GiveUsPeterObiThe east are saying #GiveUsPeterObiWe are saying give us #GiveUsPeterObiLet's make our voices be heard. Let make Nigeria work again. #GiveUsPeterObi.Peter Obi for President 2023.",Give Us Peter Obi - It Is Time
